Reviews,Sentiment,NormalizedReviews
iss may iss ki cable nai h aur iss k speaker b sai kaam nai karti,-1,iss may iss ki cable nai hy aur iss k speaker bhi sai kaam nai karti
theek hai mein un head  tamirati miyaar sooti miyaar battery ke waqt se mutmaen hon qeemat ke liye sab kuch achh is hai yeh bohat umdah nazar atay hain aur kaam bhi karwa letay hain iss liye mujhe koi baat nahi hai iss ke sath mamlaat,1,theek hy main un head  tamirati miyaar sooti miyaar battery ke waqt se mutmaen ho qemat ke liye sab kuch achh is hy yeh bohat umdah nazar atay hy aur kaam bhi karwa letay hy iss liye mujhe koi baat nahi hy iss ke sath mamlaat
un head phone ke baarey mein mera tajurbah bohat acha raha hai mujhe yeh itna pasand aya hai ke mein nai un mein se  ko order diya hai yeh guzashta  mah se istemaal kar raha hon aur un ke miyaar ke sath kisi maslay ka saamna nahi karna para awaz aur taamer ka miyaar kaafi acha hai aur battery taqreeban   ghantay jari rehti hai,1,un head phone ke baarey main mera tajurba bohat acha rha hy mujhe yeh itna pasand aya hy ke main nai un main se  ko order diya hy yeh guzashta  mah se istemaal kr rha ho aur un ke miyaar ke sath kisi maslay ka saamna nahi karna para awaz aur tamer ka miyaar kaafi acha hy aur battery taqreeban   ghantay jari rehti hy
jaizay dekhnay ke baad khareeda gaya lekin mujhe imandaar bitayen badter head phone awaz ka miyaar bohat kaam hai taamer bhi aam hai usay nahi khareedain kuch paisay shaamil karen aur kuch acha khareedain,1,jaizay dekhnay ke baad khareeda gya lekin mujhe imandaar bitayen badter head phone awaz ka miyaar bohat kaam hy tamer bhi aam hy usay nahi khareedain kuch paisay shaamil karen aur kuch acha khareedain
iss mein koi ox kibl shaamil nahi hai mein ny aik aks kibl khareedi hai aur usay apne laip taap se marboot kar di hai mein sirf head phone ke baen taraf se audio sun sakta hon durust numera,1,iss main koi ox kibl shaamil nahi hy main ny aik aks kibl khareedi hy aur usay apne laip taap se marboot kr di hy main sirf head phone ke baen taraf se audio sun sakta ho durust numera
ya chez wkt p aa gai thi aur kaam b sai kar rhi hai,0,yeh chez wkt p aa gai thi aur kaam bhi sai kr rhi hy
in k headphone ziyda buri nai hai lakin may kaho ka k inn ko na khareedo,-1,in k headphone ziyda buri nai hy lakin may kaho ka k inn ko ny khareedo
may koi acha phone nai jaanta market may ya pura packge hai style ka money ka,1,may koi acha phone nai jaanta market may yeh pura packge hy style ka money ka
may ny order kya tha mi a in golden aur unho ny rose gole bejha hai mujhy,0,may ny order kya tha mi a in golden aur unho ny rose gole bejha hy mujhy
portrait mode bhot acha iss phone k camera may baki sb b acha hai sb sy ziyda google update achi hai,1,portrait mode bhot acha iss phone k camera may baki sab bhi acha hy sab say ziyda google update achi hy
bhot hi acha phone hai ya speed b achi hi aur language ka masla b nai h,1,bhot hy acha phone hy yeh speed bhi achi hy aur language ka masla bhi nai hy
achi timing hai sirf  dino may agya hai,0,achi timing hy sirf  dino may agya hy
sirf thori se price ziyda hai agar international market k mukabaly dekha jya tu,1,sirf thori se price ziyda hy agar international market k mukabaly dekha jya tu
audio achi hai base k sath,1,audio achi hy base k sath
shukriya achi quality k lya mujhy pasnd hai iss ki audio,1,shukriya achi quality k lya mujhy pasand hy iss ki audio
shukriya achi quality k lya aur iss ki audio b achi hai,1,shukriya achi quality k lya aur iss ki audio bhi achi hy
iss ki quality achi hai aur baki sb b acha hai,1,iss ki quality achi hy aur baki sab bhi acha hy
sb sy acha product achi price may iss k earphone b achi hai zaroor liay aap b shukriya daraz,1,sab say acha product achi price may iss k earphone bhi achi hy zaroor liay aap bhi shukriya daraz
base achi hai baki sari chzey b achi hai   iss k lya price b kaam hai,1,base achi hy baki sari chzey bhi achi hy   iss k lya price bhi kaam hy
audio ki quality achi hai aur baki sb chezy b balance hai,1,audio ki quality achi hy aur baki sab chezy bhi balance hy
achi mobile hai lakin iss ki koi warenty nai hai,1,achi mobile hy lakin iss ki koi warenty nai hy
may ny iphone lya us p straches hai aur box b sai sy band nai hai,-1,may ny iphone lya us p straches hy aur box bhi sai say band nai hy
iss k batter ie k issues hai aur customer service center sy b koi acha response nai aa rha,1,iss k batter ie k issues hy aur customer service center say bhi koi acha response nai aa rha
vaqata aik behtareen phone karkardagi aur istehkaam ke hawale se yeh iss qeemat mein bay misaal hai taham yeh phone thora sa bhaari aur bara hai mazeed yeh ke phone ke sath faraham kardah  ka shafaaf cover bhi thora sa dheel hai,1,vaqata aik behtareen phone karkardagi aur istehkaam ke hawale se yeh iss qemat main bay misaal hy taham yeh phone thora sa bhaari aur bara hy mazeed yeh ke phone ke sath faraham kardah  ka shafaaf cover bhi thora sa dheel hy
battery timing aur mobile bhot acha kaam kar rha hai hai,1,battery timing aur mobile bhot acha kaam kr rha hy hy
sb sy acha phone hai agar aap sy ko huwai k sath compare kry tu,0,sab say acha phone hy agar aap say ko huwai k sath compare kry tu
mein nai phone bazyaft kya aur mein nai dekha ke iss khanaay mein dosra haath huawei ie  tha aur daraz bhi iss ki jagah nahi le rahay hain woh keh rahay hain ke yeh un ka phone nahi hai,-1,main nai phone bazyaft kya aur main nai dekha ke iss khanaay main dosra haath huawei ie  tha aur daraz bhi iss ki jagah nahi lye rha hy woh keh rha hy ke yeh un ka phone nahi hy
sb sy acha product hai sirf  din may mil gya hai price b kaafi kaam hai,0,sab say acha product hy sirf  din may mil gya hy price bhi kaafi kaam hy
plz mujhy bta di k ya single ya dual sim wala hai,0,plz mujhy bta di k yeh single yeh dual sim wala hy
sb sy achi deal hai may bhot kush ho istemail kar k,1,sab say achi deal hy may bhot kush ho istemail kr k
yeh vaqata aik acha tajurbah tha mein jaldi tarseel aur zabardast  ke liye daraz ki tareef karta hon sale  saal warranty card ke sath mukammal tor par original hai tajdeed shuda nahi shukriya daraz aur dealer,1,yeh vaqata aik acha tajurba tha main jaldi tarseel aur zabardast  ke liye daraz ki tareef krta ho sale  saal warranty card ke sath mukammal tor par orginal hy tajdeed shuda nahi shukriya daraz aur dealer
bhot acho deal h  din may hi phone mil gya hai,0,bhot acho deal hy  din may hy phone mil gya hy
usay  din baad mil gaya warranty card bhi shaamil hai asli simsng mohar ke sath chairr chhar ki gayi thi lekin aik aur mohar barqarar thi majmoi tor par acha tajurbah ab tak koi masla nahi hai aik shafaaf cover bhi shaamil hai,0,usay  din baad mil gya warranty card bhi shaamil hy asli simsng mohar ke sath chairr chhar ki gayi thi lekin aik aur mohar barqarar thi majmoi tor par acha tajurba ab tak koi masla nahi hy aik shafaaf cover bhi shaamil hy
may ny socha nai tha k  din may phone aa jya ga bhot acha tha pura box band tha bhot achi daraz,1,may ny socha nai tha k  din may phone aa jya ga bhot acha tha pura box band tha bhot achi daraz
shukriya daraz apka product  orignal tha,1,shukriya daraz apka product  orginal tha
order  din mein haasil karliya lekin mein mobile ki mohar ke baray mein qadray mutfiq hon kyunkay wahan du aam and pi sale mojood thay jin mein se aik pehlay hi khuli thi aur un dono muhroon ke neechay simsng neh aik aur mohar laga di thi ke agar mohar toot gaya hai tu yeh baat qubool nahi karti hai aur yeh toot gaya hai baichnay walay ko yeh bhi zikar karna chahiye ke woh kun sa model farokht kar rahay hain jis mein s aam  f dd s hai,-1,order  din main haasil karliya lekin main mobile ki mohar ke baray main qadray mutfiq ho kyunkay wahan du aam and pe sale mojood thay jin main se aik pehlay hy khuli thi aur un dono muhroon ke neechay simsng neh aik aur mohar laga di thi ke agar mohar toot gya hy tu yeh baat qubool nahi karti hy aur yeh toot gya hy baichnay walay ko yeh bhi zikr karna chahiye ke woh kun sa model farokht kr rha hy jis main s aam  f dd s hy
yeh har aik ke liye aisa zabardast tool hai jo mustaqil tor par chal raha hai mein mutadid aliktranks le kar aata hon aur jab zaroorat ho tu sakt mein un sab ko plug karna asan hota hai aur yahan kahan hai yeh asan ho jata hai,1,yeh har aik ke liye aisa zabardast tool hy jo mustaqil tor par chal rha hy main mutadid aliktranks lye kr aata ho aur jb zaroorat ho tu sakt main un sab ko plug karna asan hota hy aur yahan kahan hy yeh asan ho jata hy
quality sab kuch hai aur mujhe khushi hai ke aam aayi ka power bank khud se charge rakhnay mein aur mere phone par bhi bohat aaccha kaam kar raha hai  aam ai each ke l it yeh vaqata good aaccha hai mere phone par du baar charge karta hai aur iss ki minofikchrng ka miyaar bhi bohat aaccha hai,1,quality sab kuch hy aur mujhe khushi hy ke aam aayi ka power bank khud se charge rakhnay main aur mere phone par bhi bohat aaccha kaam kr rha hy  aam ai each ke l it yeh vaqata good aaccha hy mere phone par du baar charge krta hy aur iss ki minofikchrng ka miyaar bhi bohat aaccha hy
glass muhafiz aur naram case back  dono waqai achi terhan se tayyar hain aur jab se mein ne box khoola mein ne jo kuch pohanchaya iss se mutmaen hogaya bilkul tayyar bohat mazboot aur mein usay yakeeni tor par qabil aetmaad kahoon ga kyunkay yeh ab taq kaam kar raha hai aur yahan taq ke sab se ziyada garam dinon mein glass bhi nahi phataa hai,1,glass muhafiz aur naram case back  dono waqai achi terhan se tayyar hy aur jb se main ny box khoola main ny jo kuch pohanchaya iss se mutmaen hogaya bilkul tayyar bohat mazboot aur main usay yakeeni tor par qabil aetmaad kahoon ga kyunkay yeh ab taq kaam kr rha hy aur yahan taq ke sab se ziyada garam dinon main glass bhi nahi phataa hy
bhot bura phone hai iss ki battery sai hai lakin screen tooti hoei hai aur touch b sai kaam nai kar rha,-1,bhot bura phone hy iss ki battery sai hy lakin screen tooti hoei hy aur touch bhi sai kaam nai kr rha
ya kaafi faydy mad h mry lya kaafi achi device hai,1,yeh kaafi faydy madoo hy mry lya kaafi achi device hy
bhot aala headphne hai quality b avhi hai aur  ghanty ki battery timing b hai,1,bhot alaw headphne hy quality bhi avhi hy aur  ghanty ki battery timing bhi hy
barah karam mein sanjeeda hon yeh nah khareedain un mein ziyada se ziyada imkaan hai ke woh aap ko is p ke bajaye ghalat numeral den ge jo head phone mujhe mila hai usay astodyo s kaha jata hai aur iss mein aks kibl bhi nahi tha iss ka jhoot,-1,barah karam main sanjeeda ho yeh ny khareedain un main ziyada se ziyada imkaan hy ke woh aap ko is p ke bajaye ghalat numeral dain gi jo head phone mujhe mila hy usay astodyo s kaha jata hy aur iss main aks kibl bhi nahi tha iss ka jhoot
waqai mein bohat aaccha hai aur mujhe yeh pasand hai kyunkay mujhe iss par moseeqi suneney se lutaf aata hai head phone ka miyaar bhi aaccha hai aur mein usay pehantay hue hamwar mehsoos karta hon kisi terhan ki jalan ka sabab nahi bantaa hai mein neelay rang ki terhan bhi karta hon yeh aasani se mere phone ke sath munsalik hota hai aur mein ganoon ko aasani se tabdeel karsaktha hon aur mutlaq sahoolat ke sath hajam ko tabdeel ya mourr sakta hon mein chahta tha ke battery ka waqt ziyada behtar hota lekin mein ab bhi kharidari se mutmaen hon,1,waqai main bohat aaccha hy aur mujhe yeh pasand hy kyunkay mujhe iss par moseeqi suneney se lutf aata hy head phone ka miyaar bhi aaccha hy aur main usay pehantay hui hamwar mehsoos krta ho kisi terhan ki jalan ka sabab nahi bantaa hy main neelay rang ki terhan bhi krta ho yeh aasani se mere phone ke sath munsalik hota hy aur main ganoon ko aasani se tabdeel karsaktha ho aur mutlaq sahoolat ke sath hajam ko tabdeel yeh mourr sakta ho main chahta tha ke battery ka waqt ziyada behtar hota lekin main ab bhi kharidari se mutmaen ho
mujhy iss ki cable nai mili iss k daby may,-1,mujhy iss ki cable nai mili iss k daby may
yeh head phone apni qeemat ke mustahiq hain mein ne d film dekhnay ke liye apne ail  dd ke sath sirf aik baar iss ka istemaal kya hai aur mera tajurbah herat angaiz tha awaz ke miyaar aur kaan ke ird gird aram da aur pursukoon fitting se mohabbat karta tha iss ke ilawa iss ka  range bohat aaccha hai kyunkay mein apni ail  dd se bohat daur tha aur phir bhi iss mein koi mudakhlat nahi mili mawaad bhi aaccha hai majmoi tor par yeh aisi behtareen cheez hai jo aap ki qeemat ki hadd mein hosakti ha,-1,yeh head phone apni qemat ke mustahiq hy main ny de film dekhnay ke liye apne ail  dd ke sath sirf aik baar iss ka istemaal kya hy aur mera tajurba herat angaiz tha awaz ke miyaar aur kaan ke ird gird aram dain aur pursukoon fitting se mohabbat krta tha iss ke ilawa iss ka  range bohat aaccha hy kyunkay main apni ail  dd se bohat daur tha aur phr bhi iss main koi mudakhlat nahi mili mawaad bhi aaccha hy majmoi tor par yeh aisi behtareen cheez hy jo aap ki qemat ki hadd main hosakti hy
yeh lajawab hain yeh herat angaiz tor par qabil samaat hain aur khushgawar jamaliaat hain woh pahannay mein bohat aram da hain mere phone ke  ke sath jaldi se mutabqat pazeer aur un head phone ke baray mein sab se umdah baat yeh hai ke woh kisi bhi taar ke sath nahi atay hain jo werzish ya chalanay ke douran aap ke pasandeeda music se lutaf andoz hotay hue aap ko ulajhti hai ya pareshan karti hai iss se meri jim mein pareshani se pak music se lutaf andoz honay ki zaroriat poori hojati hain mein neh moseeqi ki mukhtalif snfon ko aazmaaya hai aur mein moseeqi ki har tafseel se lutaf andoz aur mehsoos karne ke qabil tha,1,yeh lajawab hy yeh herat angaiz tor par qabil smart hy aur khushgawar jamaliaat hy woh pahannay main bohat aram dain hy mere phone ke  ke sath jaldi se mutabqat pazeer aur un head phone ke baray main sab se umdah baat yeh hy ke woh kisi bhi taar ke sath nahi atay hy jo werzish yeh chalanay ke douran aap ke pasandeeda music se lutf andoz hotay hui aap ko ulajhti hy yeh pareshan karti hy iss se meri jim main pareshani se pak music se lutf andoz honay ki zaroriat poori hojati hy main neh moseeqi ki mukhtalif snfon ko aazmaaya hy aur main moseeqi ki har tafseel se lutf andoz aur mehsoos karne ke qabil tha
dosray ke baarey mein nahi jantay lekin meri pi  ki battery  hafton ke baad faut hogayi agar mein iss se charge karta hon tu head phone bohat garam hojata hai jaisay yeh phatne wala hai aur mujhe nahi maloom ke mein iss ki jagah le sakta hon ya nahi lehaza jawab den,1,dosray ke baarey main nahi jantay lekin meri pe  ki battery  hafton ke baad faut hogayi agar main iss se charge krta ho tu head phone bohat garam hojata hy jaisay yeh phatne wala hy aur mujhe nahi maloom ke main iss ki jagah lye sakta ho yeh nahi lehaza jawab dain
may bhot kush ho iss ko liay k,1,may bhot kush ho iss ko liay k
may dekh rha ho k kuch order karo daraz sy,-1,may dekh rha ho k kuch order karo daraz say
thumb grip lya hai achi hai lakin picture may kuch aur chez dekhai hai aur ya orb sy b nai h,1,thumb grip lya hy achi hy lakin picture may kuch aur chez dekhai hy aur yeh orb say bhi nai hy
item acha hai may sb sy kaho ga k liay lo,1,item acha hy may sab say kaho ga k liay lo
yeh aik achi numeral hai sirf aik masla yeh hai ke mujhe apne hukum se yeh mila hai ke design ke angothay ki du laathi hain lekin mujhe aik hi design ki charon cheeze mil gayeen,1,yeh aik achi numeral hy sirf aik masla yeh hy ke mujhe apne hukum se yeh mila hy ke design ke angothay ki du laathi hy lekin mujhe aik hy design ki charon cheeze mil gayeen
may iss ko istemaal kya aur ya bhot achi hai,1,may iss ko istemaal kya aur yeh bhot achi hy
phone acha hai lakin kaafi mehanga hai bahar ki market k mukabaly may,1,phone acha hy lakin kaafi mehanga hy bahar ki market k mukabaly may
translucent case nai h daby may,0,translucent case nai hy daby may
ya kaafi acha phone hai asa mobile aur kahi nai h,1,yeh kaafi acha phone hy asa mobile aur kahi nai hy
pi s  kntrolr girift mein bunyadi tor par mere angothay aur  stick ke mabain ragar muhayya karta hai taakay paicheeda  injaam day saken jis mein mukhtalif harkato ki zaroorat hoti hai lehaza yakeeni tor par ghanton gimng ke baad mere haath paseenay ho jatay hain aur yeh meri satah taq khelna mushkil hojata hai aik bohat hi umdah sakht jo mere angothon ko apni jagah par rakhnay mein muawin hai,-1,pe s  kntrolr girift main bunyadi tor par mere angothay aur  stick ke mabain ragar muhayya krta hy taakay paicheeda  injaam dain saken jis main mukhtalif harkato ki zaroorat hoti hy lehaza yakeeni tor par ghanton gimng ke baad mere haath paseenay ho jatay hy aur yeh meri satah taq khelna mushkil hojata hy aik bohat hy umdah sakhat jo mere angothon ko apni jagah par rakhnay main muaawin hy
ya bhot acha tha aur mujhy iss ki grips ki quality achi lagi bhot,1,yeh bhot acha tha aur mujhy iss ki grips ki quality achi lagi bhot
mere jaisay paseenay walay haath walay logon ke liye thumb stick girift bohat achi hai mera anghutha hamesha chhari se waisay hi phisal jata tha lekin shukar hai ke yeh paseenay ke angothay ke sath bhi mazboot girift muhayya karta hai mazeed yeh ke mein yeh haqeeqat pasand karta hon ke jab aap pehli jori pehantay ho tu aik izafi jori bhi shaamil hoti hai mere kntrolr ke ilawa achh addition izafay ki wajah se khud hi chhari ki majmoi zindagi bhi barh jati hai,-1,mere jaisay paseenay walay haath walay logon ke liye thumb stick girift bohat achi hy mera anghutha hamesha chhari se waisay hy phisal jata tha lekin shukar hy ke yeh paseenay ke angothay ke sath bhi mazboot girift muhayya krta hy mazeed yeh ke main yeh haqeeqat pasand krta ho ke jb aap pehli jori pehantay ho tu aik izafi jori bhi shaamil hoti hy mere kntrolr ke ilawa achh addition izafay ki wajah se khud hy chhari ki majmoi zindagi bhi barh jati hy
ya phone wakai bhot acha hai,0,yeh phone wakai bhot acha hy
bhot acha phone h khaas tor b fringer print sensor aur daul cam,0,bhot acha phone hy khaas tor bhi fringer print sensor aur daul cam
audio ki quality bhot achi hai aur base b,1,audio ki quality bhot achi hy aur base bhi
audio bas wali h aur case ki quality bhi achi h,1,audio bas wali hy aur case ki quality bhi achi hy
achi quality aur achi awaz hai maza aya istemaal kar k,1,achi quality aur achi awaz hy mazay aya istemaal kr k
iss ki keemat kaam aur bhot achi chez h us sy ziyda hai jo may ny mangi thi,1,iss ki qemat kaam aur bhot achi chez hy us say ziyda hy jo may ny mangi thi
saaf awaz aur achi base bhot achi qualty k sath,1,saaf awaz aur achi base bhot achi qualty k sath
ya acha nai hai bhot mayoos kya inflix ny inflix samrt bhot acha hai smart  sy,0,yeh acha nai hy bhot mayus kya inflix ny inflix smart bhot acha hy smart  say
iss keemat may range awaz ki bht buri hai,-1,iss qemat may range awaz ki bht buri hy
aik din may product mil gya orignal seal tha aur price b kaam thi market sy,-1,aik din may product mil gya orginal seal tha aur price bhi kaam thi market say
ya sb sy acha phne h ab tk,0,yeh sab say acha phne hy ab tk
hbl feast sy phone lya jo bhot acha hai,0,hbl feast say phone lya jo bhot acha hy
daraz ke zareya zabardast khidmat mera package  din ke andar mousool hogaya aur mobile  uine haqeeqi aur sale tha jis cheez ne mujhe sab se ziyada pareshan kya shabash daraaz,1,daraz ke zareya zabardast khidmat mera package  din ke andar mousool hogaya aur mobile  uine haqeeqi aur sale tha jis cheez ny mujhe sab se ziyada pareshan kya shabash daraaz
ya acha tajurba hai daraz sy chezy leny ka,1,yeh acha tajurba hy daraz say chezy leny ka
arrey nokia team mera naam muther ahmed hai aur mere paas youtube channel hai aur mein aap ki masnoaat ka jaiza lena chahta hon mera youtube video youtu bay yvwthmig ka link yeh hai mera  mil,0,arrey nokia team mera naam muther ahmed hy aur mere paas youtube channel hy aur main aap ki masnoat ka jaiza lena chahta ho mera youtube video youtu bay yvwthmig ka link yeh hy mera  mil
awaz achi bettery timing b achi hai zaoor kharedy,1,awaz achi bettery timing bhi achi hy zaoor kharedy
bhot acha h ya quality b bht achi hai aur battery timing b,1,bhot acha hy yeh quality bhi bht achi hy aur battery timing bhi
yeh waqai aik acha phone hai screen karkardagi khususiyaat camera aawaz battery sab bohat achay hain baichnay wala bhi bohat taawun karta hai,1,yeh waqai aik acha phone hy screen karkardagi khususiyaat camera aawaz battery sab bohat achay hy baichnay wala bhi bohat tawun krta hy
islamabad mein aik din ke andar yeh aala masool sun hwa,1,islamabad main aik din ke andar yeh alaw masool sun hova
shandaar phone khaas tor par qeemat di gayi hai aik karkardagi ka muzahira karne wala janwar aur dish charger ke sath adhay ghantay ke muawzay mein aik din ke liye jana achchhaa hai zabardast  taiz sun hwa chehra aur finger print  stock android tajurbah ke qareeb waqai parcham bardaar qaatil honay ke liye saakh ke mustahiq hain,0,shandar phone khaas tor par qemat di gayi hy aik karkardagi ka muzahira karne wala janwar aur dish charger ke sath adhay ghantay ke muawzay main aik din ke liye jana achchhaa hy zabardast  taiz sun hova chehra aur finger print  stock android tajurba ke qareeb waqai parcham bardaar qaatil honay ke liye saakh ke mustahiq hy
mein ny aaj yeh phone khareeda hai aur yeh iss behtareen phone hai jo aap ko iss budget mein mil sakay ga behtareen karkardagi kaam roshni wali soorat e haal mein kamera itna achchca nahi hai warna aik achchca soda hai,1,main ny aaj yeh phone khareeda hy aur yeh iss behtareen phone hy jo aap ko iss budget main mil sakay ga behtareen karkardagi kaam roshni wali soorat e haal main kamera itna achchca nahi hy warna aik achchca soda hy
mein ne abhi yeh phone khareeda hai aur mein iss ki karkardagi se waqai herat zada hon ke lafzi phone kabhi hang nahi hota hai  jee bi reem aur camera quality wala snap drign processor bhi kaafi herat angaiz hai ab chunkay hum mein se bohat se logon ne yeh phone khareeda hai mein sirf umeed karsaktha hon ke iss ki market value barqarar hai sab kuch bohat achchca hai mein iss ki tawaqqa nahi kar raha tha ke bohat si khususiyaat ki lafzi tor par iss ne bohat saaray aadaab mein aayi phone x ko shikast di hai,1,main ny abi yeh phone khareeda hy aur main iss ki karkardagi se waqai herat zada ho ke lafzi phone kabhi hang nahi hota hy  jee bi reem aur camera quality wala snap drign processor bhi kaafi herat angaiz hy ab chunkay hum main se bohat se logon ny yeh phone khareeda hy main sirf umeed karsaktha ho ke iss ki market value barqarar hy sab kuch bohat achchca hy main iss ki tawaqqa nahi kr rha tha ke bohat se khususiyaat ki lafzi tor par iss ny bohat saaray aadaab main aayi phone x ko shikast di hy
mein ne aik saal ki guarantee ke sath yeh pakd box mein haasil kya hai lekin yeh sale phone thora sa mehanga hai yeh pachaas kilometer ke lag bhag hona chahiye,-1,main ny aik saal ki guarantee ke sath yeh pakd box main haasil kya hy lekin yeh sale phone thora sa mehanga hy yeh pachaas kilometer ke lag bhag hona chahiye
one plus  tea ko budget ke parcham bardaar qaatil ke tor par jana jata hai kya baat hai agar iss ki qeemat itna hi hai jitna aik parcham bardaar qeemat ziyada se ziyada  k ke lag bhag honi chahiye,-1,one plus  tea ko budget ke parcham bardaar qaatil ke tor par jana jata hy kya baat hy agar iss ki qemat itna hy hy jitna aik parcham bardaar qemat ziyada se ziyada  k ke lag bhag honi chahiye
mein ne usay sirf  din mein khareeda hai iss se pehlay ke k aan dd mein ab iss ki qeemat mayoos kin hai,-1,main ny usay sirf  din main khareeda hy iss se pehlay ke k aan dd main ab iss ki qemat mayus kin hy
mujhe yeh behtareen thanda  free miyaar ka mila hai achi awaz,1,mujhe yeh behtareen thanda  free miyaar ka mila hy achi awaz
yeh air phone bohat acha hai aur yeh sanchay bhi bohat achay miyaar ki hai,1,yeh air phone bohat acha hy aur yeh sanchay bhi bohat achay miyaar ki hy
yeh super bees  free behtareen hai yeh waqai super  bees mean hai iss se pyar karen,1,yeh super bees  free behtareen hy yeh waqai super  bees mean hy iss se pyar karen
awaz aur khatam herat angaiz tha,1,awaz aur khatam herat angaiz tha
herat angaiz choti choti cheeze zabardast bus aur zabardast awaz shukriya,1,herat angaiz choti choti cheeze zabardast bus aur zabardast awaz shukriya
caring case rakhna aik achi cheez thi aur mein aisi cheez talaash kar raha tha jaisay mein ne case nah honay ki wajah se apne beshtar  ko kho diya tha wazeh awaz aur bus ki aik achi miqdaar ke sath audio ka miyaar bhi achchhaa tha lekin koi maskh nahi sun hwa tha aur kaan ke tukre dhaat ke murakkab se banay thay jo aik achchhaa lams tha aur itni achi qeemat ke l eay mein usay har iss shakhs ko wapas karta hon jo up grade karna chahta hai ya un ke puranay  ko tabdeel karen mayk ka miyaar bhi bohat wazeh tha aur cal same up button mere simsng s  ke sath bhi kaam karta tha,-1,caring case rakhna aik achi cheez thi aur main aisi cheez talaash kr rha tha jaisay main ny case ny honay ki wajah se apne beshtar  ko kho diya tha wazeh awaz aur bus ki aik achi miqdaar ke sath audio ka miyaar bhi achchhaa tha lekin koi maskh nahi sun hova tha aur kaan ke tukra dhaat ke murakkab se banay thay jo aik achchhaa lams tha aur itni achi qemat ke l eay main usay har iss shakhs ko wapas krta ho jo up grade karna chahta hy yeh un ke puranay  ko tabdeel karen mayk ka miyaar bhi bohat wazeh tha aur cal same up button mere simsng s  ke sath bhi kaam krta tha
